Ticker,fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
RY,2025-01-31,CAD,16720000000,16720000000,0,0,0,5987000000,0,16720000000,0,7948000000,26455000000,18507000000,0,0,0,774000000,6433000000,1302000000,0,5131000000,0,0,0,5129000000
RY,2024-10-31,CAD,15063000000,15063000000,0,0,6289000000,5423000000,0,8774000000,0,7671000000,26498000000,18827000000,0,0,0,821000000,5215000000,993000000,0,4222000000,0,6289000000,7110000000,4219000000
RY,2024-07-31,CAD,14688000000,14688000000,-20187000000,-20187000000,6283000000,5406000000,0,8405000000,0,7327000000,27090000000,19763000000,0,0,0,763000000,5373000000,887000000,0,4486000000,0,6283000000,7046000000,4483000000
RY,2024-04-30,CAD,13980000000,13980000000,0,0,6030000000,5091000000,0,7950000000,0,6623000000,25754000000,19131000000,0,0,0,723000000,4926000000,976000000,0,3950000000,0,6030000000,6753000000,3948000000
RY,2024-01-31,CAD,13755000000,13755000000,0,0,5696000000,5163000000,0,8059000000,0,6332000000,25609000000,19277000000,0,0,0,674000000,4348000000,766000000,0,3582000000,0,5696000000,6370000000,3580000000
RY,2023-10-31,CAD,13249000000,13249000000,0,0,4069000000,4793000000,0,-9180000000,0,6542000000,24502000000,17960000000,0,0,0,1016000000,4071000000,-60000000,0,4131000000,0,4294000000,5310000000,4129000000
RY,2023-07-31,CAD,14434000000,14434000000,0,0,4631000000,6173000000,0,-9803000000,0,6286000000,22834000000,16548000000,0,0,0,693000000,4633000000,761000000,0,3872000000,0,4645000000,5338000000,3870000000
RY,2023-04-30,CAD,13508000000,13508000000,0,0,18638000000,5606000000,0,5130000000,0,6099000000,20318000000,14219000000,0,0,0,706000000,4420000000,771000000,0,3649000000,0,18638000000,19344000000,3648000000
RY,2023-01-31,CAD,15065000000,15065000000,0,0,18475000000,6421000000,0,3410000000,0,6202000000,19337000000,13135000000,0,0,0,694000000,5342000000,2128000000,0,3214000000,0,18475000000,19169000000,3131000000
RY,2022-10-31,CAD,12543000000,12543000000,0,0,13471000000,4499000000,0,928000000,0,6282000000,14898000000,8616000000,0,0,0,689000000,4861000000,979000000,0,3882000000,0,13471000000,14160000000,3876000000
RY,2022-07-31,CAD,850000000,850000000,0,0,9401000000,4708000000,0,8551000000,0,5890000000,10737000000,4847000000,0,0,0,657000000,4556000000,979000000,0,3577000000,0,9401000000,10058000000,3575000000
RY,2022-04-30,CAD,11107000000,11107000000,0,0,7789000000,3822000000,0,-3318000000,0,5274000000,7758000000,2484000000,0,0,0,654000000,5308000000,1055000000,0,4253000000,0,7789000000,8443000000,4250000000
RY,2022-01-31,CAD,12040000000,13037000000,997000000,997000000,7489000000,5282000000,0,-4551000000,0,5271000000,7378000000,2107000000,0,0,0,652000000,5384000000,1289000000,0,4095000000,0,7489000000,8141000000,4093000000
RY,2021-10-31,CAD,11310000000,12342000000,1032000000,1032000000,6936000000,5020000000,0,-4374000000,0,5061000000,7014000000,1953000000,0,0,0,665000000,4988000000,1096000000,0,3892000000,0,6936000000,7601000000,3887000000
RY,2021-07-31,CAD,11405000000,12709000000,1304000000,1304000000,7513000000,5415000000,0,-3892000000,0,5052000000,6997000000,1945000000,0,0,0,656000000,5572000000,1276000000,0,4296000000,0,7513000000,8169000000,4292000000
RY,2021-04-30,CAD,11419000000,11568000000,149000000,149000000,7229000000,4301000000,0,-4190000000,0,4854000000,6898000000,2044000000,0,0,0,637000000,5186000000,1171000000,0,4015000000,0,7229000000,7866000000,4014000000
RY,2021-01-31,CAD,11512000000,12918000000,1406000000,1406000000,7084000000,5694000000,0,-4428000000,0,5035000000,7236000000,2201000000,0,0,0,634000000,4885000000,1038000000,0,3847000000,0,7084000000,7718000000,3845000000
RY,2020-10-31,CAD,10611000000,11072000000,461000000,461000000,6600000000,4048000000,0,-4011000000,0,5010000000,7463000000,2453000000,0,0,0,330000000,4146000000,900000000,0,3246000000,0,6980000000,7310000000,3247000000
RY,2020-07-31,CAD,11115000000,12900000000,1785000000,1785000000,6893000000,5817000000,0,-4222000000,0,5139000000,7956000000,2817000000,0,0,0,652000000,4080000000,879000000,0,3201000000,0,6893000000,7545000000,3197000000
RY,2020-04-30,CAD,10318000000,10318000000,-177000000,-177000000,5502000000,3396000000,0,-4993000000,0,5465000000,9226000000,3761000000,0,0,0,642000000,1738000000,257000000,0,1481000000,0,5502000000,6144000000,1484000000
RY,2020-01-31,CAD,11200000000,12814000000,1614000000,1614000000,9437000000,5674000000,0,-1763000000,0,5221000000,10238000000,5017000000,0,0,0,644000000,4425000000,916000000,0,3509000000,0,9437000000,10081000000,3504000000
RY,2019-10-31,CAD,10532000000,11193000000,661000000,661000000,9355000000,4374000000,0,-1177000000,0,5111000000,10442000000,5331000000,0,0,0,309000000,3898000000,692000000,0,3206000000,0,9622000000,9931000000,3201000000
RY,2019-07-31,CAD,10477000000,11523000000,1046000000,1046000000,9643000000,4661000000,0,-834000000,0,5018000000,10610000000,5562000000,0,0,0,458000000,4081000000,818000000,0,3263000000,0,9643000000,10101000000,3263000000
RY,2019-04-30,CAD,10325000000,11485000000,1160000000,1160000000,9288000000,4782000000,0,-1037000000,0,4773000000,10132000000,5295000000,0,0,0,457000000,3997000000,767000000,0,3230000000,0,9288000000,9745000000,3226000000
RY,2019-01-31,CAD,10349000000,11574000000,1225000000,1225000000,9201000000,4868000000,0,-1148000000,0,4884000000,10149000000,5265000000,0,0,0,443000000,3938000000,766000000,0,3172000000,0,9201000000,9644000000,3170000000
RY,2018-10-31,CAD,10167000000,10661000000,494000000,494000000,8198000000,3923000000,0,-1969000000,0,0,0,4261000000,0,0,0,279000000,3940000000,690000000,0,2470543520,0,8349000000,8628000000,3247000000
RY,2018-07-31,CAD,10086000000,11011000000,925000000,925000000,7918000000,4446000000,0,-2168000000,0,0,0,4030000000,0,0,0,419000000,3896000000,787000000,0,2390251403,0,7918000000,8337000000,3101000000
RY,2018-04-30,CAD,9619000000,10040000000,421000000,421000000,7312000000,3745000000,0,-2307000000,0,0,0,3444000000,0,0,0,407000000,3877000000,817000000,0,2383177570,0,7312000000,7719000000,3051000000
RY,2018-01-31,CAD,9967000000,10803000000,836000000,836000000,7131000000,4338000000,0,-2836000000,0,0,0,3095000000,0,0,0,396000000,4047000000,1035000000,0,2445797808,0,7131000000,7527000000,3001000000
RY,2017-10-31,CAD,9472000000,10513000000,1041000000,1041000000,6318000000,4436000000,0,-3154000000,0,0,0,2785000000,0,0,0,257000000,3541000000,704000000,0,1.17E+11,0,6469000000,6726000000,2829000000
RY,2017-07-31,CAD,9098000000,9741000000,643000000,643000000,6126000000,4028000000,0,-2972000000,0,0,0,2551000000,0,0,0,398000000,3588000000,792000000,0,57783532334,0,6126000000,6524000000,2783000000
RY,2017-04-30,CAD,9179000000,10269000000,1090000000,1090000000,5974000000,4331000000,0,-3205000000,0,0,0,2293000000,0,0,0,397000000,3689000000,880000000,0,2053212484,0,5974000000,6371000000,2801000000
RY,2017-01-31,CAD,8893000000,9076000000,183000000,183000000,5977000000,3446000000,0,-2916000000,0,0,0,2135000000,0,0,0,414000000,3854000000,827000000,0,5720449731,0,5977000000,6391000000,3015000000
RY,2016-10-31,CAD,8538000000,8935000000,397000000,397000000,5326000000,3429000000,0,-3212000000,0,0,0,2024000000,0,0,0,410000000,3312000000,769000000,0,-697986577.2,0,5326000000,5736000000,2533000000
RY,2016-07-31,CAD,8718000000,9928000000,1210000000,1210000000,5688000000,4289000000,0,-3030000000,0,0,0,2061000000,0,0,0,382000000,3636000000,741000000,0,752876628.8,0,5688000000,6070000000,2886000000
RY,2016-04-30,CAD,8497000000,9485000000,988000000,988000000,5154000000,4002000000,0,-3343000000,0,0,0,1976000000,0,0,0,368000000,3191000000,618000000,0,-788570516.4,0,5154000000,5522000000,2560000000
RY,2016-01-31,CAD,8483000000,9312000000,829000000,829000000,4999000000,3905000000,0,-3484000000,0,0,0,1860000000,0,0,0,386000000,3160000000,713000000,0,2940159174,0,4999000000,5385000000,2426000000
RY,2015-10-31,CAD,7644000000,7979000000,335000000,335000000,4696000000,2974000000,0,-2948000000,0,0,0,1915000000,0,0,0,180000000,2805000000,212000000,0,-936235204.3,0,4836000000,5016000000,2569000000
RY,2015-07-31,CAD,8140000000,8796000000,656000000,656000000,5213000000,3546000000,0,-2927000000,0,0,0,1972000000,0,0,0,306000000,3267000000,792000000,0,1619680648,0,5213000000,5519000000,2449000000
RY,2015-04-30,CAD,8297000000,8790000000,493000000,493000000,5290000000,3489000000,0,-3007000000,0,0,0,2000000000,0,0,0,318000000,3319000000,817000000,0,-1755402832,0,5290000000,5608000000,2473000000
RY,2015-01-31,CAD,8037000000,9559000000,1522000000,1522000000,5281000000,4537000000,0,-2756000000,0,0,0,2071000000,0,0,0,302000000,3232000000,776000000,0,-7164796690,0,5281000000,5583000000,2434000000
RY,2014-10-31,CAD,7596000000,8348000000,752000000,752000000,4844000000,3333000000,0,-2752000000,0,0,0,1916000000,0,0,0,314000000,2945000000,612000000,0,7991479542,0,4844000000,5158000000,2316000000
RY,2014-07-31,CAD,7929000000,8938000000,1009000000,1009000000,5096000000,3875000000,0,-2833000000,0,0,0,2026000000,0,0,0,298000000,3096000000,718000000,0,0,0,5096000000,5394000000,2352000000
RY,2014-04-30,CAD,7406000000,8236000000,830000000,830000000,4815000000,3564000000,0,-2591000000,0,0,0,1971000000,0,0,0,286000000,2870000000,669000000,0,0,0,4815000000,5101000000,2175000000
RY,2014-01-31,CAD,7434000000,8416000000,982000000,982000000,4764000000,3832000000,0,-2670000000,0,0,0,1990000000,0,0,0,275000000,2799000000,707000000,0,0,0,4764000000,5039000000,2067000000
RY,2013-10-31,CAD,7009000000,7887000000,878000000,878000000,4572000000,3408000000,0,-2437000000,0,0,0,2040000000,0,0,0,276000000,2556000000,455000000,0,0,0,4572000000,4848000000,2077000000
RY,2013-07-31,CAD,6956000000,7219000000,263000000,263000000,4619000000,2749000000,0,-2337000000,0,0,0,1957000000,0,0,0,114000000,2687000000,383000000,0,0,0,4619000000,4733000000,2279000000
RY,2013-04-30,CAD,6829000000,7767000000,938000000,938000000,4418000000,3489000000,0,-2411000000,0,0,0,1910000000,0,0,0,114000000,2532000000,596000000,0,0,0,4418000000,4532000000,1912000000
RY,2013-01-31,CAD,7199000000,7904000000,705000000,705000000,4772000000,3337000000,0,-2427000000,0,0,0,1992000000,0,0,0,247000000,2805000000,735000000,0,0,0,4772000000,5019000000,2045000000
RY,2012-10-31,CAD,3899000000,7520000000,3621000000,3621000000,4517000000,2348000000,0,618000000,0,0,0,2027000000,0,0,0,-452000000,2513000000,602000000,0,0,0,4517000000,4065000000,1888000000
RY,2012-07-31,CAD,7747000000,7747000000,2582992723,2582992723,4739000000,3570000000,0,-3008000000,0,0,0,2090000000,0,0,0,105000000,2673000000,433000000,0,0,0,4739000000,4844000000,2216000000
RY,2012-04-30,CAD,6918000000,6918000000,2286264182,2286264182,4093000000,3208000000,0,-2825000000,0,0,0,2069000000,0,0,0,395000000,2079000000,516000000,0,0,0,4093000000,4488000000,1508000000
RY,2012-01-31,CAD,7574000000,7574000000,2761990228,2761990228,4547000000,3782000000,0,-3027000000,0,0,0,2168000000,0,0,0,252000000,2425000000,549000000,0,0,0,4547000000,4799000000,1830000000
RY,2011-10-31,CAD,3119000000,6479000000,3360000000,3360000000,4007000000,2170000000,0,888000000,0,0,0,1981000000,0,0,0,224000000,2054000000,427000000,0,0,0,4007000000,4231000000,1599000000
RY,2011-07-31,CAD,6790000000,6790000000,2481446639,2481446639,2321000000,3389000000,0,-4469000000,0,0,0,2066000000,0,0,0,171000000,1935000000,347000000,0,0,0,2321000000,2492000000,-92000000
RY,2011-04-30,CAD,7132000000,7132000000,2715698653,2715698653,4047000000,3565000000,0,-3085000000,0,0,0,2142000000,0,0,0,239000000,1932000000,399000000,0,0,0,4047000000,4286000000,1506000000
RY,2011-01-31,CAD,7389000000,7389000000,2253071008,2253071008,4666000000,3385000000,0,-2723000000,0,0,0,2215000000,0,0,0,231000000,2480000000,612000000,0,0,0,4666000000,4897000000,1839000000
RY,2010-10-31,CAD,2094000000,7202000000,5108000000,5108000000,3558000000,3085000000,0,1464000000,0,0,0,2056000000,0,0,0,-253000000,1529000000,381000000,0,0,0,3558000000,3305000000,1121000000
RY,2010-07-31,CAD,6827000000,6827000000,1692728694,1692728694,3417000000,3645000000,0,-3410000000,0,0,0,1884000000,0,0,0,225000000,1559000000,257000000,0,0,0,3417000000,3642000000,1276000000
RY,2010-04-30,CAD,6967000000,6967000000,2365369497,2365369497,3609000000,3508000000,0,-3358000000,0,0,0,1837000000,0,0,0,219000000,1795000000,443000000,0,0,0,3609000000,3828000000,1329000000
RY,2010-01-31,CAD,7334000000,7334000000,2674451455,2674451455,3981000000,3694000000,0,-3353000000,0,0,0,1919000000,0,0,0,219000000,2085000000,565000000,0,0,0,3981000000,4200000000,1497000000
RY,2009-10-31,CAD,2972000000,7581000000,4609000000,4609000000,3599000000,2899000000,0,627000000,0,0,0,1890000000,0,0,0,-1244000000,1731000000,415000000,0,0,0,3599000000,2355000000,1294000000
RY,2009-07-31,CAD,7823000000,7823000000,3197588126,3197588126,3925000000,3802000000,0,-3898000000,0,0,0,1915000000,0,0,0,214000000,2045000000,449000000,0,0,0,3925000000,4139000000,1561000000
RY,2009-04-30,CAD,6761000000,6761000000,3041038526,3041038526,2450000000,3350000000,0,-4311000000,0,0,0,2234000000,0,0,0,1213739430,254000000,266000000,0,0,0,2450000000,3663739430,-50000000
RY,2009-01-31,CAD,6940757129,6940757129,3390471592,3390471592,4488692232,3536135693,0,-2452064897,0,0,0,2997787611,0,0,0,205260570,1490904621,437561455,0,0,0,4488692232,4693952802,1053343166
RY,2008-10-31,CAD,3438205731,5069205731,1631000000,1631000000,5107590582,1867523030,0,1669384851,0,0,0,3559230296,0,0,0,194982600,1629360286,428365404,0,0,0,5107590582,5302573182,1119994882
RY,2008-07-31,CAD,5911975435,5911975435,3615046409,3615046409,5313203685,2585465711,0,-598771750,0,0,0,3609007165,0,0,0,173612538,1704196520,442169908,0,0,0,5313203685,5486816223,1262026612
RY,2008-04-30,CAD,4954792043,4954792043,3929706116,3929706116,5250150693,2347799879,0,295358650,0,0,0,4166164356,0,0,0,162834581,1083986337,155716295,0,0,0,5250150693,5412985274,928270042
RY,2008-01-31,CAD,5646586345,5646586345,4384339510,4384339510,6238955824,2152610442,0,592369479,0,0,0,4650602410,0,0,0,142570281,1588353414,343373494,0,0,0,6238955824,6381526105,1244979920
RY,2007-10-31,CAD,5615415971,5615415971,4733552283,4733552283,6080281177,2476938648,0,464865206,0,0,0,4501432782,0,0,0,141081203,1578848395,254283822,0,0,0,6080281177,6221362380,1324564573
RY,2007-07-31,CAD,5480779470,5480779470,3778693901,3778693901,6663827068,2335214567,0,1183047598,0,0,0,4919603876,0,0,0,133539665,1744223192,349270578,0,0,0,6663827068,6797366733,1394952614
RY,2007-04-30,CAD,5669439823,5669439823,3830688785,3830688785,6478092069,2725457571,0,808652246,0,0,0,4846367166,0,0,0,131673548,1631724903,352745424,0,0,0,6478092069,6609765617,1278979479
RY,2007-01-31,CAD,5697824810,5697824810,3387179051,3387179051,6506760729,2549088771,0,808935919,0,0,0,4577307466,0,0,0,123456790,1929453263,435038213,0,0,0,6506760729,6630217519,1494415050
RY,2006-10-31,CAD,5349342903,5349342903,3395100223,3395100223,5992326395,2439326660,0,642983492,0,0,0,4388485178,0,0,0,128338315,1604728349,341239847,0,0,0,5992326395,6120664710,1262601370
RY,2006-07-31,CAD,5206471321,5206471321,3162219473,3162219473,5640909605,2474261794,0,434438284,0,0,0,4083041068,0,0,0,121876942,1574838783,381264849,0,0,0,5640909605,5762786547,1176603688
RY,2006-04-30,CAD,5122250753,5122250753,2903225806,2903225806,5106620521,2488556436,0,-15630232,0,0,0,3640727923,0,0,0,119588461,1475940605,348330914,0,0,0,5106620521,5226208982,1117561684
RY,2006-01-31,CAD,4977241694,4977241694,2654207248,2654207248,4799726900,2463586709,0,-177514794,0,0,0,3296540737,0,0,0,111515703,1504324078,332271279,0,0,0,4799726900,4911242603,1170914884
RY,2005-10-31,CAD,4816551835,4816551835,2393162393,2393162393,3660388887,2386879667,0,-1156162948,0,0,0,3048034953,0,0,0,101611156,632560010,89894037,0,0,0,3660388887,3762000043,522459897
RY,2005-07-31,CAD,4938165789,4938165789,2176747256,2176747256,3951267295,2404799804,0,-986898494,0,0,0,2579894698,0,0,0,119361138,1393412514,391820742,0,0,0,3951267295,4070628433,979551855
RY,2005-04-30,CAD,4734256927,4734256927,1894585759,1894585759,3554156172,1732997481,0,-1180100755,0,0,0,2299748111,0,0,0,137640153,1254408061,347607053,0,0,0,3554156172,3691796325,906801008
RY,2005-01-31,CAD,4827586207,4827586207,1760438498,1760438498,3533862565,1731580253,0,-1293723642,0,0,0,2113619449,0,0,0,105432895,1420243116,441577772,0,0,0,3533862565,3639295460,978665344
TD,2025-01-31,CAD,14901000000,14901000000,0,0,0,6157000000,0,14901000000,0,7866000000,22872000000,15006000000,0,0,0,532000000,3260000000,698000000,0,2793000000,0,0,0,2793000000
TD,2024-10-31,CAD,14432000000,14432000000,0,0,4545000000,6444000000,0,9887000000,0,7940000000,23774000000,15834000000,0,0,0,544000000,3991000000,534000000,0,3635000000,0,4545000000,5089000000,3635000000
TD,2024-07-31,CAD,14113000000,14113000000,-16309000000,-16309000000,5331000000,5758000000,0,8782000000,0,7579000000,23806000000,16227000000,0,0,0,492000000,423000000,794000000,0,-181000000,0,5331000000,5823000000,-181000000
TD,2024-04-30,CAD,13759000000,13759000000,0,0,5515000000,5498000000,0,8244000000,0,7465000000,22996000000,15531000000,0,0,0,492000000,3099000000,729000000,0,2564000000,0,5515000000,6007000000,2564000000
TD,2024-01-31,CAD,13641000000,13641000000,0,0,5275000000,5680000000,0,8366000000,0,7488000000,22813000000,15325000000,0,0,0,499000000,3317000000,634000000,0,2824000000,0,5275000000,5774000000,2824000000
TD,2023-10-31,CAD,14762000000,14762000000,0,0,3514000000,5109000000,0,-11248000000,0,7494000000,22376000000,14882000000,0,0,0,505000000,3358000000,628000000,0,2886000000,0,3514000000,4019000000,2886000000
TD,2023-07-31,CAD,12768000000,12768000000,0,0,3690000000,4928000000,0,-9078000000,0,7289000000,20935000000,13646000000,0,0,0,496000000,3508000000,727000000,0,2963000000,0,3690000000,4186000000,2963000000
TD,2023-04-30,CAD,12429000000,12429000000,0,0,16096000000,4687000000,0,3667000000,0,7428000000,19307000000,11879000000,0,0,0,122085,3976000000,866000000,0,3351000000,0,16574877915,16575000000,3306000000
TD,2023-01-31,CAD,13010000000,13010000000,0,0,12852000000,4734000000,0,-158000000,0,7733000000,18056000000,10323000000,0,0,0,41584,2244000000,947000000,0,1582000000,0,13282958416,13283000000,1581000000
TD,2022-10-31,CAD,11926000000,11926000000,0,0,15037000000,4230000000,0,3111000000,0,7630000000,14699000000,7069000000,0,0,0,54880,7678000000,1297000000,0,6671000000,0,15499945120,15500000000,6671000000
TD,2022-07-31,CAD,11503000000,11503000000,0,0,7655000000,4156000000,0,-3848000000,0,7044000000,10782000000,3738000000,0,0,0,27081,3649000000,703000000,0,3214000000,0,8084972919,8085000000,3214000000
TD,2022-04-30,CAD,11165000000,11165000000,0,0,6465000000,3874000000,0,-4700000000,0,6377000000,8029000000,1652000000,0,0,0,86065,4611000000,1002000000,0,3811000000,0,6902913935,6903000000,3811000000
TD,2022-01-31,CAD,11168000000,11168000000,0,0,5937000000,4034000000,0,-5231000000,0,6302000000,7091000000,1220000000,0,0,0,60459,4486000000,984000000,0,3733000000,0,6371939541,6372000000,3733000000
TD,2021-10-31,CAD,10829000000,10829000000,0,0,4646000000,3701000000,0,6373000000,0,6262000000,7045000000,1177000000,0,0,0,71391,4467000000,910000000,0,3781000000,0,-18071391,-18000000,3781000000
TD,2021-07-31,CAD,10603000000,10603000000,0,0,5769000000,3882000000,0,-4834000000,0,5642000000,6944000000,1302000000,0,0,0,54000,4297000000,922000000,0,3545000000,0,6237946000,6238000000,3545000000
TD,2021-04-30,CAD,10120000000,10120000000,0,0,6048000000,3566000000,0,-4072000000,0,5392000000,6783000000,1391000000,0,0,0,55806,4435000000,962000000,0,3695000000,0,6590944194,6591000000,3695000000
